Descrição do Item;Unid.;Cód.Grupo;GRUPO DE PRODUTOS;INSUMOS/PRODUTOS;FORNECEDOR/PRODUTOS
Aco CA-50A 25,00 mm (1);KG;25;FERRO E AÇO;VERGALHÃO;
Aco CA-50A 6,30 mm (1/4);KG;25;FERRO E AÇO;VERGALHÃO;
Aco CA-50A 8,00 mm (5/16);KG;25;FERRO E AÇO;VERGALHÃO;
Aco CA-60 4,20 mm;KG;25;FERRO E AÇO;AÇO;
Aco CA-60 5,00 mm;KG;25;FERRO E AÇO;AÇO;
Aco CA-60 6,00 mm;KG;25;FERRO E AÇO;AÇO;
Aco CA-60 7,00 mm;KG;25;FERRO E AÇO;AÇO;
Aco CA-60 8,00 mm;KG;25;FERRO E AÇO;AÇO;
Aco CP para tirante;KG;25;FERRO E AÇO;AÇO;
Adaptador (acabamento de metal), p/ aspirador de piscina, c/saída de 1;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador (acabamento de metal), p/ retorno de piscina, c/saída de 1 1;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador curto, D=20 mm x 1/2 polegadas;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador de manqueira para hidrante (2.1/2 x 1.1/2) polegadas;UN;11;CONTRA INCÊNDIO;ADAPTADOR;
Adaptador Fêmea Azul 3/4;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador Macho PVC Marrom 1 1/2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador Macho PVC Marrom 1 1/4;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador Macho PVC Marrom 2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador Macho PVC Marrom 3/4rosca;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador Macho PVC Marron 110 mm;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador marron anel ved cx cil/ret 40mm;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador p/ sifão de PVC esgoto normal (sold : 40 mm / rosc: 1 1/4);UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR ;
Adaptador para Máquina Lavar  Louça e Roupa  AM;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
adaptador para Registro GLP P-13;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador para Serra Copo 25mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ADAPTADOR;
Adaptador para Serra Copo 32-210mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ADAPTADOR;
Adaptador para sifão metálico PBV de PVC branco para esgoto serie norm;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto  PVC marrom sold: 20mm /rosc: 1/2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto PVC marrom sold 40mm / rosc: 1 1/4;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto PVC marrom sold 50mm / rosc: 1 1/2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto PVC marrom sold 60mm / rosc: 2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto PVC marrom sold 75mm / rosc: 2 1/2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto PVC marrom sold: 25mm / rosc: 3/4;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel curto PVC marrom sold: 32mm / rosc: 1;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel longo PVC marrom sold 50mm / rosc: 1 1/2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel longo PVC marrom sold 60mm / rosc: 2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador sold flanges anel longo PVC marrom sold 75mm / rosc: 2 1/2;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de cobre 66mm;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 20;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 25;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 32;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 40;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 50;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
Adaptador soldável de PVC marrom para água fria (diâmetro da seção: 60;UN;29;HIDROSANITÁRIO E GAS;ADAPTADOR;
