Descrição do Item;Unid.;Cód.Grupo;GRUPO DE PRODUTOS;INSUMOS/PRODUTOS;FORNECEDOR/PRODUTOS
Conduíte Flexivel espiralado preta 25mx3;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDUÍTE;
Condulete ( T )  Alumínio Sem Rosca Sem Tampa  3/4;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete aluminio 4x2 com tampa cega;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete Aluminio LR 3/4;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de aluminio com rosca;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de aluminio sem rosca;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 1 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 1 1/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 2 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 3 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 3 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C - roscável (diâmetro da seção: 4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo C de encaixe l (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de aluminio tipo C, D=3/4 polegadas, com tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de aluminio tipo C, D=3/4 polegadas, sem tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 1 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 1 1/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 2 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 3 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 3 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo E - roscável (diâmetro da seção: 4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo L - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LB - com espelho cego  (diâm seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LB - com Tampa para Tomada (diâmetro da seç;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LB - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LB - Sem Rosca  (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 1 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 1 1/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 2 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 3 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 3 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - roscável (diâmetro da seção: 4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LL - Sem Rosca  (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LR - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo LR - sem rosca (diâmetro da seção: 1);UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 1 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 1 1/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 2 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 3 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 3 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo T - roscável (diâmetro da seção: 4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 1 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 1 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 1 1/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 2 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 3 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 3 1/2 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 3/4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de alumínio tipo X - roscável (diâmetro da seção: 4 );UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de PVC tipo C, D= 3/4 polegadas, com tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de PVC tipo C, D= 3/4 polegadas, sem tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de PVC tipo LB, D= 1 polegada, com tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete de PVC tipo LB, D= 1 polegada, sem tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete duplo tipo E, D= 3/4 polegadas, sem tampa;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONDULETE;
Condulete multiplo (D) 3/4 X;UN;13;ELÉTRICA, TELEFONE E LÓGICA;MULTIP;
Condulete multiplo (F) 1;UN;13;ELÉTRICA, TELEFONE E LÓGICA;MULTIP;
Condutor de chapa galvanizada (espessura: 0,50 mm / diâmetro da seção:;M;13;ELÉTRICA, TELEFONE E LÓGICA;CONDUTOR;
Condutor de chapa galvanizada (espessura: 0,65 mm / diâmetro da seção:;M;13;ELÉTRICA, TELEFONE E LÓGICA;CONDUTOR;
Cone 3/4 Para Tubo de Travamento de Formas;UN;18;ESPAÇADOR ;CONE;
Cone de encosto 3/4 polegadas;MIL;18;ESPAÇADOR ;CONE;
Cone de Sinalização 75 cm Preto/Amarelo Polietileno;UN;11;CONTRA INCÊNDIO;CONE;
Conector;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector 90º para Barra de Aterramento;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector Cobre Macho  54 X 2 1/2;UN;29;HIDROSANITÁRIO E GAS;CONECTOR;
Conector cobre macho 11/2 x 42;UN;29;HIDROSANITÁRIO E GAS;CONECTOR;
Conector com rosca (C) 1;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector de aço para haste terra (bitola: 3/4  / tipo de acabamento: c;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector de Aço para Haste Terra (bitola:3/8);UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector de Aço para Haste Terra (bitola:5/8 / Cromado);UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector de Torção  0,8 a 2,5mm para cabo;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector de torção 16 mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector de torção 25 mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector Mini Gar Bronze Estanhado;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector p Cabo Coaxial Compressão;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector para Cabo 16mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector Split-Bolt  para Cabo Para-Raio 95mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 120 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 150 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 16 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 25 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 35 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 50 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 70 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 85 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector split-bolt de aluminio para cabo 95 mm²;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector Split-Bolt para Cabo Para-Raio 35mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conector Split-Bolt para Cabo Para-Raio 50mm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONECTOR;
Conexao central tipo canaleta;UN;29;HIDROSANITÁRIO E GAS;CONEXAO;
Conexao de canto tipo canaleta;UN;29;HIDROSANITÁRIO E GAS;CONEXAO;
Conexão de PVC (espude) para bacia sanitária com saída horizontal (diâ;UN;29;HIDROSANITÁRIO E GAS;CONEXÃO;
Conexao exotermica;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONEXAO;
Conj. gradil e portao de ferro;M2;20;ESQUADRIA DE FERRO;GRADIL;
Conj. portao e gradil de aluminio;M2;19;ESQUADRIA DE ALUMINIO;PORTÃO E GRADIL;
Conjunto de Ancoragem ( OLHAL );UN;37.7;MÁQUINA E EQUIPAMENTO;OLHAL;
Conjunto de Ancoragem 5/8”;UN;37.7;MÁQUINA E EQUIPAMENTO;ANCORAGEM;
Conjunto de cabeçote de plástico para entrada de telefone em poste;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CABEÇOTE;
Conjunto de Contraventagem c/ Tubo para Mastro 2 Tipo Rígido 2 mts;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONTRAVENTAGEM;
Conjunto de estaiamento para pára-raios (diâmetro da seção: 1 1/2  / t;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ESTAIAMENTO;
Conjunto formação de pétala (núcleo) p/ilumin pública  até 2 unidades;UN;13;ELÉTRICA, TELEFONE E LÓGICA;PÉTALA;
conjunto moto-bomba submersa p/ poço artesiano;UN;37.6;MÁQUINA E EQUIPAMENTO;MOTO-BOMBA;
Conjunto motor-bomba (centrifuga) para recalque de água;UN;37.6;MÁQUINA E EQUIPAMENTO;MOTO-BOMBA;
Conjunto para estaimento com cabo de aço p/ mastro 1.1/2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;ESTAIAMENTO;
Conjunto vedação elástica (diâmetro do furo: 8,00 mm);UN;29;HIDROSANITÁRIO E GAS;CONJUNTO;
Construção de Quadra Esportiva;UN;80;SERVICO DE ENGENHARIA;QUADRA ESPORTIVA;
Consultoria, Projetos e Edificação;UN;80;SERVICO DE ENGENHARIA;PROJETOS E EDIFICAÇÃO;
Container - aquisicao;UN;37.10;MÁQUINA E EQUIPAMENTO;CONTAINER;
Container - relocacao;UN;37.10;MÁQUINA E EQUIPAMENTO;CONTAINER;
Contator A3;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONTATOR;
Contra marco para esquadrias;CJ;19;ESQUADRIA DE ALUMINIO;CONTRA MARCO;
Contravent c/ cb de aço p/ mastro de 1.1/2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONTRAVENTO;
Contraverga de concreto;UN;4.4;ALVENARIA;CONTRAVERGA CONCRETO;
Controle Tecnologico;UN;80;SERVICO DE ENGENHARIA;TECNOLOGICO;
Conversor monofásico para trifásico 15HP;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CONVERSOR;
Copo descartavel para agua;CEM;16;EQUIPAMENTO PARA ESCRITÓRIO;COPO;
Copo descartavel para café;CEM;16;EQUIPAMENTO PARA ESCRITÓRIO;COPO;
Corante em pó vermelho;L;42;PINTURA ;CORANTE;
Corante Líquido;L;42;PINTURA ;CORANTE;
Corda  Poliamida tipo Bombeiro 10 mm;M;14;EPI;CORDA;
Corda de nylon 1/2 polegada;M;14;EPI;CORDA;
Corda de Nylon 3,8;M;14;EPI;CORDA;
Corda de nylon 3/4 polegada;M;14;EPI;CORDA;
Corda de nylon 3/8 polegada;M;14;EPI;CORDA;
Corda de nylon 5/8 polegada;M;14;EPI;CORDA;
Corda de poliamida 1/2 polegada;M;14;EPI;CORDA;
Corda Nylon Torc. 8mmx220m;M;14;EPI;CORDA;
Corda p/ uso em cinto de segurança 1/2;M;14;EPI;CORDA;
Corda sinalização p/ proteção 1/2 (amarela e preta);M;14;EPI;CORDA;
Cordel detonante (diâmetro da seção: 4,80 mm / velocidade de detonação;M;13;ELÉTRICA, TELEFONE E LÓGICA;CORDEL;
Cordoalha 35mm;M;13;ELÉTRICA, TELEFONE E LÓGICA;CORDOALHA;
Cordoalha 50mm;M;13;ELÉTRICA, TELEFONE E LÓGICA;CORDOALHA;
Coroa de botões , diâmetro 100 mm;UN;37.4;MÁQUINA E EQUIPAMENTO;COROA BOTÕES;
Coroa de botões , diâmetro 150 mm;UN;37.4;MÁQUINA E EQUIPAMENTO;COROA BOTÕES;
Coroa de botões , diâmetro 50 mm;UN;37.4;MÁQUINA E EQUIPAMENTO;COROA BOTÕES;
Corpo caixa seca de PVC alt: 100 mm / saída: 40mm /  caixa: 100 mm;UN;29;HIDROSANITÁRIO E GAS;CORPO;
Corpo Caixa Sifonada 100 x 100 x 50mm;UN;29;HIDROSANITÁRIO E GAS;CORPO;
Corpo de apoio de polietileno para juntas;M;26;FIXAÇÃO ;CORPO APOIO;
Correia Betoneira A 44;UN;37.4;MÁQUINA E EQUIPAMENTO;CORREIA ;
Correia Betoneira A48;UN;37.4;MÁQUINA E EQUIPAMENTO;CORREIA ;
Correia Betoneira B 48;UN;37.4;MÁQUINA E EQUIPAMENTO;CORREIA ;
Correia da policorte A32;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CORREIA;
Correia da policorte A33 V;UN;37.4;MÁQUINA E EQUIPAMENTO;CORREIA ;
Correia para Policorte A30;UN;37.4;MÁQUINA E EQUIPAMENTO;CORREIA ;
Correia SC 90 para Policorte Motor 1000;UN;37.4;MÁQUINA E EQUIPAMENTO;CORREIA ;
Corrente sold 6.50mm 100grs;UN;23;FERRAMENTA;CORRENTE ;
Corrimao de nylon;M;39;METAL SANITÁRIO E ACESSÓRIO;CORRIMÃO;
Corrimao de tubo escadaria;M;19;ESQUADRIA DE ALUMINIO;CORRIMÃO ESCADA;
Corrimão em aço inox 304;UN;58;ARTEFATO DE AÇO INOX;CORRIMÃO;
Corrimao parede de ferro;M;20;ESQUADRIA DE FERRO;CORRIMÃO;
Corrimao parede de madeira;M;21;ESQUADRIA DE MADEIRA;CORRIMÃO;
Corrimao piso de ferro;M;20;ESQUADRIA DE FERRO;CORRIMÃO;
Corrimao tipo gradil escadaria;M;19;ESQUADRIA DE ALUMINIO;CORRIMAO GRADE;
Cortador  (Riscador) de Fórmica cabo madeira;UN;23;FERRAMENTA;CORTADOR;
Cortador de Azulejo 900Hd Cortag;UN;23;FERRAMENTA;CORTADOR;
Corte em concreto;M;69;CORTE EM CONCRETO;CORTE;
Cotovelo 1;UN;13;ELÉTRICA, TELEFONE E LÓGICA;COTOVELO;
Cotovelo 45º, soldável BB de bronze sem anel para af/aq/gas/incêndio (;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 graus de PVC marrom, D= 85 mm;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 roscável de PVC branco para água fria (diâm da seção: 1);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 roscável de PVC branco para água fria (diâm seção: 1 1/2);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 roscável de PVC branco para água fria (diâm seção: 1 1/4);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 roscável de PVC branco para água fria (diâm seção: 1/2);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 roscável de PVC branco para água fria (diâm seção: 2);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 roscável de PVC branco para água fria (diâm seção: 3/4);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC bege-claro água quente (diâm seção: 15mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC bege-claro água quente (diâm seção: 22mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC bege-claro água quente (diâm seção: 28mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC bege-claro água quente (diâm seção: 35mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC bege-claro água quente (diâm seção: 42mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC bege-claro água quente (diâm seção: 54mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 100mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 110mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 20mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 32mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 40mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 50mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 60mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 75mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom para água fria (diâm seção: 85mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90 soldável de PVC marrom seção: 25mm;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo 90º Cobre (diâmetro da seção 54mm);UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo azul, D=25 mm x 3/4 polegadas;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo de cobre 90 de 66;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo soldável BB de bronze 79mm;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo soldável BB de cobre 15mm;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo soldável Bolsa e Rosca de cobre sem anel para af/aq/gas/incên;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Cotovelo soldável BP de cobre 15/15mm;UN;29;HIDROSANITÁRIO E GAS;COTOVELO;
Creolina;LT;34;LIMPEZA;CREOLINA;
Cruzeta;UN;17;ESCORAMENTO ;CRUZETA;
Cruzeta de madeira para transformador e instalação em poste (comprimen;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CRUZETA;
Cruzeta roscável de PVC branco para água fria (diâm da seção: 3/4 );UN;29;HIDROSANITÁRIO E GAS;CRUZETA;
Cruzeta roscável de PVC branco para água fria (diâmetro da seção: 1 1/;UN;29;HIDROSANITÁRIO E GAS;CRUZETA;
Cruzeta soldável de PVC marrom para água fria (diâmetro da seção: 25,0;UN;29;HIDROSANITÁRIO E GAS;CRUZETA;
Cruzeta soldável de PVC marrom para água fria (diâmetro da seção: 50,0;UN;29;HIDROSANITÁRIO E GAS;CRUZETA;
Cuba de aco inox redonda, D= 30 cm, Profundidade = 14 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aco inox redonda, D= 35 cm, Profundidade = 14 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aco inox retangular, dupla invertida, L= 71 cm, C= 40 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aco inox retangular, dupla normal, L= 84 cm, C= 34 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aco inox retangular, simples, L= 40 cm, C= 34 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aco inox retangular, simples, L= 46 cm, C= 30 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aco inox retangular, simples, L= 56 cm, C= 34 cm;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aço inoxidável retangular dupla (comprimento: 730,00 mm / larg;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de aço inoxidável retangular simples (comprimento: 400,00 mm / la;UN;39;METAL SANITÁRIO E ACESSÓRIO;CUBA;
Cuba de sobrepor;UN;36;LOUÇA SANITÁRIA;CUBA;
Cuba em aço inox 304;UN;58;ARTEFATO DE AÇO INOX;CUBA;
Cuba embutir oval;UN;36;LOUÇA SANITÁRIA;CUBA;
Cuba embutir redonda;UN;36;LOUÇA SANITÁRIA;CUBA;
Cuba embutir, oval, bege (pergamon ou biscuit);UN;36;LOUÇA SANITÁRIA;CUBA;
Cuba sobrepor, redonda, bege (pergamon ou biscuit);UN;36;LOUÇA SANITÁRIA;CUBA;
Cumeeira ceramica;UN;9.2;COBERTURA ;CUMEEIRA CERAMICA;
"Cumeeira cimento amianto para telha ondulada 6 mm; C=1,10 m";UN;9.5;COBERTURA ;CUMEEIRA AMIANTO;
Cunha para Abraçadeira;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CUNHA;
Curva 135 de PVC rígido roscável para eletroduto (diâmetro da seção: 1;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CURVA;
Curva 135 de PVC rígido roscável para eletroduto (diâmetro da seção: 3;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CURVA;
Curva 180 de PVC rígido roscável para eletroduto (diâmetro da seção: 2;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CURVA;
Curva 180º PVC Rígido Roscável p/ Eletroduto Raio Longo 4;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CURVA;
Curva 45 longa PB soldável de PVC branco para  esgoto serie normal (di;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 110;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 20,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 25,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 32,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 40,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 50,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 60,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 75,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45 soldável de PVC marrom para água fria (diâmetro da seção: 85,;UN;29;HIDROSANITÁRIO E GAS;CURVA;
Curva 45º chapa  perfurada 10x50 cm;UN;13;ELÉTRICA, TELEFONE E LÓGICA;CURVA;
